track_id,cover_downloaded,preview_downloaded
3WUyu94psXrYV6HZbXgcFA,true,true
5GxUKIEkMXXZo1Tif0IzfC,true,true
7clUVcSOtkNWa58Gw5RfD4,true,true
2PWTZV5znjLtZC5T1EVJvL,true,true
1wNlxeNoKgMK3pAuZCHDcJ,true,true
6P3FBaZfUjeWYExU2ShaPZ,true,true
6LnEoRQKMcaFTR5UvaKuBy,true,true
0SjQBdIddPvKSWxr8vk6QX,true,true
0M3adYbGtyRHACP86dey1H,true,true
3qXsX3mYSsD1DmAvc3PE3N,true,true
1TMWcbxL5YF8rKsFHv5hAP,true,true
7ge7BHazYbVKi8qyZUX1Bm,true,true
6WC5fhc9XMaCrUNKNjm9xE,true,true
1EAgPzRbK9YmdOESSMUm6P,true,true
0VgkVdmE4gld66l8iyGjgx,true,true
1yvSMyZn27M4wEslpSvB0D,true,true
5H4mXWKcicuLKDn4Jy0sK7,true,true
58ge6dfP91o9oXMzq3XkIS,true,true
27u7t9d7ZQoyjsCROHuZJ3,true,true
3SWqGa1J0M7hSBUDM0KePD,true,true
4lzxJ4jCuFDXXGkE1LmpKR,true,true
7EiZI6JVHllARrX9PUvAdX,true,true
63SevszngYpZOwf63o61K4,true,true
2QUlMbvD9bL8wHqfsoqoet,true,true
2VxeLyX666F8uXCJ0dZF8B,true,true
7LHAKF7pBqHch8o6Yo0ad5,true,true
6iZ2inFhxOuHKxOlTwwhZq,true,true
3084aAzars6DR26nCWO9Ep,true,true
4wBjKhJx6JnGoNJfJs24pd,true,true
0RDqNCRBGrSegk16Avfzuq,true,true
2UN0lp72LAusrXi8LLVomt,true,true
2ygvZOXrIeVL4xZmAWJT2C,true,true
3YuaBvuZqcwN3CEAyyoaei,true,true
5mCPDVBb16L4XQwDdbRUpz,true,true
2Fxmhks0bxGSBdJ92vM42m,true,true
0Y9D1Bc4fAkeZnVsGKdij6,true,true
5BJMeoCXXgbRAWfp6fTulr,true,true
48svUiwMMYQRPyesVEnof1,true,true
23A29DEDxMZdwpl0ZRrMOk,true,true
1R0a2iXumgCiFb7HEZ7gUE,true,true
6I6NX6tjGsxFAsIfGzY9lJ,true,true
1jxO9AwMqYynDsuMWKrPvi,true,true
3nsAcKRQ4MoNSKiwECG0Yv,true,true
18asYwWugKjjsihZ0YvRxO,true,true
6m3T4RHAMaSIKUDsxko43y,true,true
1ExfPZEiahqhLyajhybFeS,true,true
4scpF6J5uMBvoh6sFB7EL1,true,true
7Gk5OrMYaMRtT2JmgJVAfk,true,true
4pnk9Mhzcv3oHxFyARlNNP,true,true
1aOy9aPUFFE73cPPUJ2kNW,true,true
4SE4yewyGpOYfxfx59Yjc5,true,true
5mpUKTdskZea0gStWzeHUZ,true,true
2ZD4aIEepqZsdxPxLSuUhm,true,true
0rcJX1gJdAAm7vnqY1H7O2,true,true
5hgnY0mVcVetszbb85qeDg,true,true
4gbVRS8gloEluzf0GzDOFc,true,true
4PEfJZpVjdclfzZ9XO8uDw,true,true
0qOCy2LqvdkMora7eZsJhQ,true,true
0QHEIqNKsMoOY5urbzN48u,true,true
6Zw25LRLP0j0MsezDFIUM4,true,true
4Vutl1Y7OJOBwIqVISNmzL,true,true
5eqK0tbzUPo2SoeZsov04s,true,true
6kNZdlmjH4BQnSUfHeJIuc,true,true
4AFsRbaLKRWo3dDtjDFA2V,true,true
7K2JfvcKhIMwOndE6QBodf,true,true
5w9c2J52mkdntKOmRLeM2m,true,true
4nyF5lmSziBAt7ESAUjpbx,true,true
6lYY2HktYKpV1pUamfRlU1,true,true
3lrNsPdn98i6rxO142pLT6,true,true
4gzsuuZypVbxs0Af1LSZyB,true,true
0dLbrlAVPPjpPqnYfmJsWk,true,true
3krzcyMKlRXjVkJFZqMN4t,true,true
2AilvPt1AQ8PixlCKqkjfj,true,true
